goal	rule	score
has_symptom(Doc, D)	has_symptom(influenza, cough)	1
risk_factor(D)	risk_factor(poor_diet)	1
has_symptom(Doc, D)	has_symptom(stroke, muscle_weakness)	1
affects(osteoporosis, D)	affects(osteoporosis, bones)	1
exhibits(S, D)	exhibits(patient_carol, chest_pain)	1
symptom(D)	symptom(weight_loss)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_frank, poor_diet)	1
side_effect(D, D2)	side_effect(ibuprofen, nausea)	1
requires_specialist(pneumonia, Organ)	requires_specialist(pneumonia, pulmonology)	1
has_symptom(Spec, frequent_urination)	has_symptom(diabetes, frequent_urination)	1
exhibits(RF, fatigue)	exhibits(patient_grace, fatigue)	1
treats(albuterol, asthma)	treats(albuterol, asthma)	1
exhibits(Organ, pale_skin)	exhibits(patient_kate, pale_skin)	1
symptom(D)	symptom(sweating)	1
patient(Drug)	patient(patient_liam)	1
treats(warfarin, heart_disease)	treats(warfarin, heart_disease)	1
has_risk_factor(P, D)	has_risk_factor(patient_grace, aging)	1
has_symptom(D, shortness_of_breath)	has_symptom(covid19, shortness_of_breath)	1
requires_specialist(copd, Doc)	requires_specialist(copd, pulmonology)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_bob, stress)	1
has_symptom(D1, D)	has_symptom(anemia, pale_skin)	1
has_symptom(RF, weight_gain)	has_symptom(hypothyroidism, weight_gain)	1
affects(asthma, D)	affects(asthma, lungs)	1
patient(Doc)	patient(patient_alice)	1
treats(Spec, kidney_disease)	treats(lisinopril, kidney_disease)	1
exhibits(Organ, D)	exhibits(patient_jack, headache)	1
diagnosed_with(D1, D)	diagnosed_with(patient_bob, anxiety)	1
may_have_disease(patient_grace, heart_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(patient_mia, nausea)	exhibits(patient_mia, nausea)	1
side_effect(D, Doc)	side_effect(prednisone, weight_gain)	1
affected_organ(patient_carol, D)	affected_organ(P, Organ) :- diagnosed_with(P, D), affects(D, Organ)	1
exhibits(D, nausea)	exhibits(patient_jack, nausea)	1
exhibits(Organ, D)	exhibits(patient_frank, fever)	1
treats(D1, D)	treats(prednisone, asthma)	1
has_risk_factor(D, stress)	has_risk_factor(patient_bob, stress)	1
at_risk_for(patient_henry, D)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
symptom_organ(memory_loss, D)	symptom_organ(S, Organ) :- has_symptom(D, S), affects(D, Organ)	1
exhibits(D1, abdominal_pain)	exhibits(patient_mia, abdominal_pain)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_noah, aging)	1
exhibits(Organ, D)	exhibits(patient_liam, fatigue)	1
exhibits(D1, D)	exhibits(patient_dave, loss_of_appetite)	1
treats(P, anxiety)	treats(sertraline, anxiety)	1
risk_factor(D)	risk_factor(aging)	1
side_effect(D, Organ)	side_effect(ibuprofen, nausea)	1
has_symptom(RF, dizziness)	has_symptom(stroke, dizziness)	1
treats(D2, copd)	treats(fluticasone, copd)	1
complication_doctor(D, Spec)	complication_doctor(P, Doc) :- complication_specialist(P, Spec), has_specialty(Doc, Spec)	1
exhibits(D, joint_pain)	exhibits(patient_olivia, joint_pain)	1
has_symptom(D1, D)	has_symptom(hypertension, dizziness)	1
has_risk_factor(D, D1)	has_risk_factor(patient_dave, sedentary_lifestyle)	1
has_symptom(Spec, fever)	has_symptom(influenza, fever)	1
patient(Organ)	patient(patient_carol)	1
treats(Spec, hypertension)	treats(amlodipine, hypertension)	1
side_effect(D1, D)	side_effect(lisinopril, fatigue)	1
requires_specialist(kidney_disease, Doc)	requires_specialist(kidney_disease, nephrology)	1
exhibits(patient_grace, swollen_joints)	exhibits(patient_grace, swollen_joints)	1
exhibits(D, D1)	exhibits(patient_alice, frequent_urination)	1
has_symptom(SE, D)	has_symptom(influenza, fatigue)	1
requires_specialist(D, D2)	requires_specialist(hypothyroidism, endocrinology)	1
has_symptom(Doc, D)	has_symptom(liver_disease, abdominal_pain)	1
exhibits(D1, D)	exhibits(patient_carol, chest_pain)	1
has_symptom(D1, D)	has_symptom(hypertension, headache)	1
exhibits(Doc, shortness_of_breath)	exhibits(patient_bob, shortness_of_breath)	1
has_symptom(RF, fever)	has_symptom(influenza, fever)	1
exhibits(Doc, D)	exhibits(patient_jack, headache)	1
patient(Drug)	patient(patient_frank)	1
diagnosed_with(patient_carol, heart_disease)	diagnosed_with(patient_carol, heart_disease)	1
has_symptom(liver_disease, nausea)	has_symptom(liver_disease, nausea)	1
exhibits(Doc, D)	exhibits(patient_frank, fever)	1
treats(D1, influenza)	treats(oseltamivir, influenza)	1
exhibits(Drug, frequent_urination)	exhibits(patient_alice, frequent_urination)	1
exhibits(RF, nausea)	exhibits(patient_jack, nausea)	1
treats(P, stroke)	treats(warfarin, stroke)	1
has_symptom(liver_disease, D)	has_symptom(liver_disease, nausea)	1
treats(D1, D)	treats(sertraline, anxiety)	1
has_symptom(anemia, pale_skin)	has_symptom(anemia, pale_skin)	1
requires_specialist(copd, D)	requires_specialist(copd, pulmonology)	1
exhibits(Doc, D)	exhibits(patient_liam, fatigue)	1
has_symptom(D1, cough)	has_symptom(covid19, cough)	1
risk_increases(D, D1)	risk_increases(alcohol_abuse, liver_disease)	1
diagnosed_with(patient_alice, D)	diagnosed_with(patient_alice, diabetes)	1
requires_specialist(arthritis, rheumatology)	requires_specialist(arthritis, rheumatology)	1
exhibits(D, D1)	exhibits(patient_jack, dizziness)	1
treats(Drug, migraine)	treats(ibuprofen, migraine)	1
symptom(D)	symptom(joint_pain)	1
affected_organ(patient_grace, D1)	affected_organ(P, Organ) :- diagnosed_with(P, D), affects(D, Organ)	1
risk_increases(sedentary_lifestyle, D1)	risk_increases(sedentary_lifestyle, diabetes)	1
treats(Spec, asthma)	treats(fluticasone, asthma)	1
exhibits(Drug, chest_pain)	exhibits(patient_carol, chest_pain)	1
has_symptom(SE, D)	has_symptom(diabetes, weight_loss)	1
treats(D1, stroke)	treats(aspirin, stroke)	1
patient(D1)	patient(patient_carol)	1
patient(Organ)	patient(patient_bob)	1
treats(Spec, D)	treats(metformin, diabetes)	1
treats(prednisone, D2)	treats(prednisone, asthma)	1
has_symptom(D1, fatigue)	has_symptom(diabetes, fatigue)	1
has_symptom(SE, D)	has_symptom(arthritis, swollen_joints)	1
has_symptom(D2, D)	has_symptom(diabetes, frequent_urination)	1
patient(SE)	patient(patient_eve)	1
exhibits(D, cough)	exhibits(patient_henry, cough)	1
exhibits(D, swollen_joints)	exhibits(patient_grace, swollen_joints)	1
has_symptom(D1, D)	has_symptom(depression, loss_of_appetite)	1
chronic(D)	chronic(copd)	1
side_effect(D, Organ)	side_effect(fluticasone, cough)	1
risk_increases(D, cancer)	risk_increases(alcohol_abuse, cancer)	1
requires_specialist(cancer, Doc)	requires_specialist(cancer, oncology)	1
has_risk_factor(D, D1)	has_risk_factor(patient_jack, stress)	1
treats(Drug, depression)	treats(sertraline, depression)	1
has_symptom(D2, D)	has_symptom(influenza, cough)	1
has_symptom(D2, D)	has_symptom(stroke, muscle_weakness)	1
has_symptom(D1, D)	has_symptom(heart_disease, chest_pain)	1
exhibits(Organ, D)	exhibits(patient_dave, loss_of_appetite)	1
possible_drug_need(Doc, levothyroxine)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
requires_specialist(covid19, SE)	requires_specialist(covid19, pulmonology)	1
exhibits(SE, fatigue)	exhibits(patient_henry, fatigue)	1
may_have_disease(Doc, osteoporosis)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(Doc, excessive_thirst)	exhibits(patient_alice, excessive_thirst)	1
exhibits(patient_eve, D)	exhibits(patient_eve, fatigue)	1
exhibits(Organ, D)	exhibits(patient_grace, joint_pain)	1
has_specialty(D1, D)	has_specialty(dr_smith, cardiology)	1
diagnosed_with(D, anemia)	diagnosed_with(patient_kate, anemia)	1
exhibits(patient_carol, dizziness)	exhibits(patient_carol, dizziness)	1
exhibits(P, fatigue)	exhibits(patient_iris, fatigue)	1
exhibits(Spec, D)	exhibits(patient_carol, dizziness)	1
requires_specialist(D1, D)	requires_specialist(alzheimers, neurology)	1
has_risk_factor(D, poor_diet)	has_risk_factor(patient_frank, poor_diet)	1
may_have_disease(D, asthma)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(D, D1)	has_symptom(liver_disease, abdominal_pain)	1
treats(Drug, D)	treats(aspirin, stroke)	1
causes(heart_disease, D)	causes(heart_disease, stroke)	1
exhibits(patient_carol, D)	exhibits(patient_carol, shortness_of_breath)	1
exhibits(Doc, dizziness)	exhibits(patient_jack, dizziness)	1
has_symptom(Spec, fatigue)	has_symptom(liver_disease, fatigue)	1
patient(D2)	patient(patient_olivia)	1
treats(Spec, diabetes)	treats(metformin, diabetes)	1
diagnosed_with(D1, D)	diagnosed_with(patient_jack, migraine)	1
treats(levothyroxine, hypothyroidism)	treats(levothyroxine, hypothyroidism)	1
requires_specialist(migraine, neurology)	requires_specialist(migraine, neurology)	1
treats(Spec, D)	treats(fluticasone, asthma)	1
has_risk_factor(D, alcohol_abuse)	has_risk_factor(patient_mia, alcohol_abuse)	1
may_have_disease(Organ, covid19)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
may_have_disease(P, anxiety)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(D1, D)	exhibits(patient_noah, memory_loss)	1
requires_specialist(covid19, Doc)	requires_specialist(covid19, infectious_disease)	1
treats(P, asthma)	treats(fluticasone, asthma)	1
exhibits(S, D)	exhibits(patient_kate, pale_skin)	1
treats(Drug, heart_disease)	treats(lisinopril, heart_disease)	1
has_symptom(Doc, D)	has_symptom(cancer, weight_loss)	1
has_symptom(D, insomnia)	has_symptom(anxiety, insomnia)	1
exhibits(Doc, fatigue)	exhibits(patient_alice, fatigue)	1
patient(Drug)	patient(patient_olivia)	1
exhibits(D1, D)	exhibits(patient_alice, fatigue)	1
has_risk_factor(D, D1)	has_risk_factor(patient_eve, aging)	1
risk_increases(sedentary_lifestyle, D)	risk_increases(sedentary_lifestyle, heart_disease)	1
patient(Organ)	patient(patient_grace)	1
has_symptom(Spec, dizziness)	has_symptom(stroke, dizziness)	1
treats(D2, anxiety)	treats(sertraline, anxiety)	1
has_symptom(SE, D)	has_symptom(diabetes, fatigue)	1
causes(anemia, heart_disease)	causes(anemia, heart_disease)	1
exhibits(Doc, D)	exhibits(patient_mia, abdominal_pain)	1
exhibits(Doc, D)	exhibits(patient_grace, joint_pain)	1
requires_specialist(hypothyroidism, Organ)	requires_specialist(hypothyroidism, endocrinology)	1
exhibits(RF, fever)	exhibits(patient_frank, fever)	1
has_symptom(Doc, D)	has_symptom(migraine, nausea)	1
exhibits(RF, cough)	exhibits(patient_henry, cough)	1
has_symptom(Doc, D)	has_symptom(alzheimers, confusion)	1
may_have_disease(patient_eve, D1)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(D2, D)	has_symptom(anemia, dizziness)	1
exhibits(patient_frank, fever)	exhibits(patient_frank, fever)	1
has_symptom(D2, D)	has_symptom(liver_disease, abdominal_pain)	1
has_symptom(heart_disease, shortness_of_breath)	has_symptom(heart_disease, shortness_of_breath)	1
possible_affected_organ(D1, D)	possible_affected_organ(P, Organ) :- may_have_disease(P, D), affects(D, Organ)	1
risk_factor(D)	risk_factor(hypertension_history)	1
treats(D, anxiety)	treats(sertraline, anxiety)	1
requires_specialist(D, RF)	requires_specialist(hypothyroidism, endocrinology)	1
causes(D, stroke)	causes(hypertension, stroke)	1
treats(D1, heart_disease)	treats(amlodipine, heart_disease)	1
side_effect(D1, D)	side_effect(atorvastatin, muscle_weakness)	1
patient(Doc)	patient(patient_jack)	1
requires_specialist(influenza, SE)	requires_specialist(influenza, infectious_disease)	1
requires_specialist(D2, D)	requires_specialist(hypertension, cardiology)	1
exhibits(P, fever)	exhibits(patient_eve, fever)	1
chronic(D1)	chronic(osteoporosis)	1
has_symptom(S, D)	has_symptom(cancer, fatigue)	1
treats(lisinopril, D)	treats(lisinopril, heart_disease)	1
requires_specialist(cancer, D)	requires_specialist(cancer, oncology)	1
exhibits(Spec, D)	exhibits(patient_jack, nausea)	1
risk_increases(smoking, heart_disease)	risk_increases(smoking, heart_disease)	1
requires_specialist(D, D1)	requires_specialist(influenza, infectious_disease)	1
exhibits(Doc, fatigue)	exhibits(patient_frank, fatigue)	1
has_symptom(D, D1)	has_symptom(anxiety, insomnia)	1
exhibits(RF, D)	exhibits(patient_carol, dizziness)	1
has_risk_factor(patient_henry, D)	has_risk_factor(patient_henry, sedentary_lifestyle)	1
requires_specialist(stroke, neurology)	requires_specialist(stroke, neurology)	1
has_symptom(Spec, cough)	has_symptom(pneumonia, cough)	1
patient(P)	patient(patient_kate)	1
exhibits(RF, sadness)	exhibits(patient_dave, sadness)	1
has_symptom(pneumonia, fatigue)	has_symptom(pneumonia, fatigue)	1
patient(RF)	patient(patient_bob)	1
side_effect(D, D2)	side_effect(metformin, loss_of_appetite)	1
treats(Drug, D)	treats(prednisone, arthritis)	1
possible_drug_need(Doc, aspirin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
exhibits(Spec, D)	exhibits(patient_alice, headache)	1
has_symptom(Spec, fatigue)	has_symptom(influenza, fatigue)	1
exhibits(D1, D)	exhibits(patient_kate, pale_skin)	1
patient(P)	patient(patient_liam)	1
treats(Organ, heart_disease)	treats(aspirin, heart_disease)	1
has_symptom(D2, insomnia)	has_symptom(anxiety, insomnia)	1
exhibits(P, chest_pain)	exhibits(patient_carol, chest_pain)	1
exhibits(D1, insomnia)	exhibits(patient_bob, insomnia)	1
exhibits(Doc, D)	exhibits(patient_eve, fever)	1
treats(Organ, diabetes)	treats(metformin, diabetes)	1
exhibits(Organ, fatigue)	exhibits(patient_frank, fatigue)	1
treats(Spec, D)	treats(warfarin, stroke)	1
risk_increases(D, D1)	risk_increases(family_history, diabetes)	1
has_symptom(D1, fatigue)	has_symptom(hypothyroidism, fatigue)	1
treats(Spec, D)	treats(lisinopril, heart_disease)	1
has_symptom(asthma, D)	has_symptom(asthma, cough)	1
may_have_disease(Doc, copd)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
side_effect(D1, D)	side_effect(prednisone, weight_gain)	1
requires_specialist(D, RF)	requires_specialist(kidney_disease, nephrology)	1
treats(oseltamivir, influenza)	treats(oseltamivir, influenza)	1
requires_specialist(D, D1)	requires_specialist(alzheimers, neurology)	1
possible_drug_need(P, warfarin)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
possible_drug_need(Organ, Drug)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
diagnosed_with(Spec, hypertension)	diagnosed_with(patient_carol, hypertension)	1
has_symptom(D1, D)	has_symptom(covid19, fever)	1
at_risk_for(P, heart_disease)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
has_symptom(D, D1)	has_symptom(cancer, weight_loss)	1
affects(arthritis, D)	affects(arthritis, joints)	1
exhibits(patient_iris, fatigue)	exhibits(patient_iris, fatigue)	1
requires_specialist(diabetes, D)	requires_specialist(diabetes, endocrinology)	1
at_risk_for(D, copd)	at_risk_for(P, D) :- has_risk_factor(P, RF), risk_increases(RF, D)	1
exhibits(S, D)	exhibits(patient_iris, muscle_weakness)	1
treats(D1, D)	treats(ibuprofen, arthritis)	1
treats(oseltamivir, D2)	treats(oseltamivir, covid19)	1
has_symptom(SE, D)	has_symptom(arthritis, joint_pain)	1
requires_specialist(influenza, Doc)	requires_specialist(influenza, infectious_disease)	1
side_effect(ibuprofen, Drug)	side_effect(ibuprofen, abdominal_pain)	1
requires_specialist(D1, D)	requires_specialist(arthritis, rheumatology)	1
has_symptom(D, D1)	has_symptom(alzheimers, confusion)	1
serious_health_concern(D1)	serious_health_concern(P) :- chronic_patient(P), complication_risk(P, D)	1
has_symptom(Doc, D)	has_symptom(hypertension, chest_pain)	1
treats(Spec, D)	treats(lisinopril, kidney_disease)	1
exhibits(RF, D)	exhibits(patient_jack, nausea)	1
has_specialty(Organ, psychiatry)	has_specialty(dr_brown, psychiatry)	1
has_symptom(kidney_disease, fatigue)	has_symptom(kidney_disease, fatigue)	1
has_symptom(D1, D)	has_symptom(copd, fatigue)	1
has_symptom(pneumonia, cough)	has_symptom(pneumonia, cough)	1
treats(P, diabetes)	treats(metformin, diabetes)	1
possible_drug_need(RF, omeprazole)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
may_have_disease(patient_grace, kidney_disease)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(Spec, D)	treats(lisinopril, hypertension)	1
exhibits(P, fatigue)	exhibits(patient_eve, fatigue)	1
has_symptom(SE, D)	has_symptom(asthma, cough)	1
affects(influenza, D)	affects(influenza, lungs)	1
exhibits(D, D1)	exhibits(patient_alice, excessive_thirst)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_olivia, sedentary_lifestyle)	1
has_symptom(RF, headache)	has_symptom(hypertension, headache)	1
exhibits(RF, D)	exhibits(patient_alice, headache)	1
has_symptom(heart_disease, D)	has_symptom(heart_disease, chest_pain)	1
requires_specialist(D, D1)	requires_specialist(heart_disease, cardiology)	1
exhibits(D1, muscle_weakness)	exhibits(patient_frank, muscle_weakness)	1
side_effect(D, D2)	side_effect(sertraline, nausea)	1
exhibits(D2, D)	exhibits(patient_iris, muscle_weakness)	1
has_symptom(D2, D)	has_symptom(cancer, weight_loss)	1
causes(D, Drug)	causes(liver_disease, kidney_disease)	1
may_have_disease(patient_grace, depression)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
exhibits(RF, weight_gain)	exhibits(patient_iris, weight_gain)	1
possible_drug_need(patient_grace, ibuprofen)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
has_symptom(D1, D)	has_symptom(asthma, shortness_of_breath)	1
diagnosed_with(patient_henry, copd)	diagnosed_with(patient_henry, copd)	1
causes(hypertension, D1)	causes(hypertension, stroke)	1
has_symptom(SE, D)	has_symptom(hypothyroidism, fatigue)	1
exhibits(D2, D)	exhibits(patient_noah, memory_loss)	1
exhibits(RF, fatigue)	exhibits(patient_kate, fatigue)	1
has_symptom(D2, D)	has_symptom(migraine, nausea)	1
has_symptom(covid19, D)	has_symptom(covid19, shortness_of_breath)	1
has_symptom(D, fatigue)	has_symptom(diabetes, fatigue)	1
requires_specialist(D, RF)	requires_specialist(copd, pulmonology)	1
exhibits(Organ, D)	exhibits(patient_kate, pale_skin)	1
exhibits(D, headache)	exhibits(patient_jack, headache)	1
diagnosed_with(patient_alice, D)	diagnosed_with(patient_alice, hypertension)	1
exhibits(D, D1)	exhibits(patient_dave, sadness)	1
symptom(D)	symptom(excessive_thirst)	1
exhibits(Doc, swollen_joints)	exhibits(patient_grace, swollen_joints)	1
side_effect(D, Doc)	side_effect(levothyroxine, insomnia)	1
patient(D2)	patient(patient_eve)	1
exhibits(D1, dizziness)	exhibits(patient_kate, dizziness)	1
has_symptom(D1, fatigue)	has_symptom(kidney_disease, fatigue)	1
has_symptom(D2, cough)	has_symptom(pneumonia, cough)	1
has_symptom(Doc, D)	has_symptom(pneumonia, fever)	1
requires_specialist(D2, endocrinology)	requires_specialist(diabetes, endocrinology)	1
treats(D2, hypertension)	treats(lisinopril, hypertension)	1
risk_increases(D1, D)	risk_increases(family_history, cancer)	1
treats(D2, heart_disease)	treats(aspirin, heart_disease)	1
side_effect(D, Drug)	side_effect(omeprazole, nausea)	1
requires_specialist(D2, rheumatology)	requires_specialist(osteoporosis, rheumatology)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_jack, stress)	1
exhibits(D1, D)	exhibits(patient_dave, insomnia)	1
affects(D, D1)	affects(kidney_disease, kidneys)	1
treats(omeprazole, D2)	treats(omeprazole, liver_disease)	1
side_effect(D, D2)	side_effect(fluticasone, cough)	1
exhibits(D2, D)	exhibits(patient_olivia, back_pain)	1
may_have_disease(Organ, stroke)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
possible_drug_need(SE, D1)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
requires_specialist(D, D2)	requires_specialist(liver_disease, gastroenterology)	1
has_symptom(influenza, cough)	has_symptom(influenza, cough)	1
exhibits(SE, dizziness)	exhibits(patient_kate, dizziness)	1
has_symptom(Spec, fatigue)	has_symptom(diabetes, fatigue)	1
exhibits(D1, fatigue)	exhibits(patient_mia, fatigue)	1
may_have_disease(RF, hypothyroidism)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
has_symptom(hypothyroidism, D)	has_symptom(hypothyroidism, weight_gain)	1
exhibits(D, D1)	exhibits(patient_iris, weight_gain)	1
has_symptom(D1, D)	has_symptom(migraine, headache)	1
affects(D, D1)	affects(alzheimers, brain)	1
exhibits(Organ, cough)	exhibits(patient_henry, cough)	1
exhibits(D1, D)	exhibits(patient_mia, fatigue)	1
chronic(D1)	chronic(hypothyroidism)	1
exhibits(S, D)	exhibits(patient_bob, cough)	1
risk_increases(poor_diet, D)	risk_increases(poor_diet, diabetes)	1
treats(Organ, stroke)	treats(warfarin, stroke)	1
has_symptom(Doc, D)	has_symptom(depression, fatigue)	1
exhibits(Drug, fever)	exhibits(patient_frank, fever)	1
has_symptom(RF, fatigue)	has_symptom(depression, fatigue)	1
may_have_disease(Doc, alzheimers)	may_have_disease(P, D) :- patient(P), exhibits(P, S), has_symptom(D, S)	1
treats(Drug, D)	treats(sertraline, depression)	1
side_effect(omeprazole, Drug)	side_effect(omeprazole, nausea)	1
exhibits(Drug, abdominal_pain)	exhibits(patient_mia, abdominal_pain)	1
has_symptom(D, shortness_of_breath)	has_symptom(copd, shortness_of_breath)	1
affects(D, D1)	affects(depression, brain)	1
treats(oseltamivir, covid19)	treats(oseltamivir, covid19)	1
has_symptom(D, D1)	has_symptom(pneumonia, fatigue)	1
has_symptom(D1, D)	has_symptom(diabetes, blurred_vision)	1
has_symptom(D1, D)	has_symptom(hypothyroidism, weight_gain)	1
affects(hypertension, D)	affects(hypertension, heart)	1
has_symptom(osteoporosis, D)	has_symptom(osteoporosis, joint_pain)	1
requires_specialist(copd, Organ)	requires_specialist(copd, pulmonology)	1
has_symptom(D, fatigue)	has_symptom(arthritis, fatigue)	1
has_symptom(SE, D)	has_symptom(alzheimers, memory_loss)	1
diagnosed_with(D, D1)	diagnosed_with(patient_dave, depression)	1
side_effect(D, Organ)	side_effect(amoxicillin, nausea)	1
risk_increases(D, D1)	risk_increases(stress, hypertension)	1
risk_increases(D, diabetes)	risk_increases(obesity, diabetes)	1
has_symptom(depression, sadness)	has_symptom(depression, sadness)	1
has_symptom(Doc, D)	has_symptom(covid19, fatigue)	1
has_symptom(RF, fatigue)	has_symptom(covid19, fatigue)	1
treats(D1, covid19)	treats(oseltamivir, covid19)	1
exhibits(Drug, fatigue)	exhibits(patient_henry, fatigue)	1
exhibits(SE, D)	exhibits(patient_eve, cough)	1
has_specialty(D, infectious_disease)	has_specialty(dr_garcia, infectious_disease)	1
patient(D1)	patient(patient_kate)	1
possible_drug_need(P, omeprazole)	possible_drug_need(P, Drug) :- may_have_disease(P, D), treats(Drug, D)	1
diagnosed_with(RF, D)	diagnosed_with(patient_liam, kidney_disease)	1
side_effect(fluticasone, Drug)	side_effect(fluticasone, cough)	1
exhibits(D2, D)	exhibits(patient_bob, cough)	1
has_risk_factor(P, D)	has_risk_factor(patient_kate, poor_diet)	1
symptom(D)	symptom(chest_pain)	1
exhibits(P, D)	exhibits(patient_liam, swollen_joints)	1
has_symptom(Spec, fatigue)	has_symptom(kidney_disease, fatigue)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_eve, aging)	1
exhibits(P, D)	exhibits(patient_alice, excessive_thirst)	1
affects(D, D1)	affects(hypertension, heart)	1
has_risk_factor(Spec, D)	has_risk_factor(patient_liam, diabetes_history)	1
risk_increases(D, cancer)	risk_increases(smoking, cancer)	1
affects(D, D1)	affects(diabetes, kidneys)	1
requires_specialist(covid19, Organ)	requires_specialist(covid19, pulmonology)	1
requires_specialist(pneumonia, Doc)	requires_specialist(pneumonia, pulmonology)	1
risk_increases(family_history, cancer)	risk_increases(family_history, cancer)	1
requires_specialist(D1, D)	requires_specialist(kidney_disease, nephrology)	1
