goal	rule	score
parent(Y, Z)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(X, Y)	parent(cersei_lannister, joffery_lannister)	1
parent(_EX4, Y)	parent(elia_martell, rhaenys_targaryen)	1
parent(_EX6, _EX0)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(_EX2, X)	parent(mace_tyrell, loras_tyrell)	1
parent(_EX3, _EX4)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(_EX0, _EX4)	parent(alannys_harlaw, yara_greyjoy)	1
parent(Z, _EX3)	parent(kevan_lannister, willem_lannister)	1
parent(_EX2, Y)	parent(balon_greyjoy, maron_greyjoy)	1
parent(X, joffery_lannister)	parent(jaime_lannister, joffery_lannister)	1
love(X, daenerys_targaryen)	love(khal_drogo, daenerys_targaryen)	1
parent(_EX6, _EX4)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
parent(oberyn_martell, _EX2)	parent(oberyn_martell, nymeria_sand)	1
parent(X, _EX4)	parent(luthor_tyrell, mace_tyrell)	1
parent(X, Z)	parent(elia_martell, rhaenys_targaryen)	1
parent(_EX6, _EX4)	parent(unknown_mother_greyjoy, euron_greyjoy)	1
parent(X, _EX5)	parent(unknown_mother_targaryen, aerys_targaryen)	1
parent(eddard_stark, Y)	parent(eddard_stark, arya_stark)	1
parent(X, _EX1)	parent(olenna_tyrell, mace_tyrell)	1
parent(X, _EX6)	parent(aegon_v_targaryen, rhaella_targaryen)	1
parent(_EX0, X)	parent(alannys_harlaw, theon_greyjoy)	1
female(selyse_baratheon)	female(selyse_baratheon)	1
parent(_EX4, _EX0)	parent(oberyn_martell, obara_sand)	1
parent(_EX0, _EX4)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX5, brandon_stark)	parent(unknown_mother_stark, brandon_stark)	1
parent(_EX3, _EX4)	parent(lewyn_martell, oberyn_martell)	1
parent(_EX6, _EX0)	parent(unknown_mother_lannister, tywin_lannister)	1
female(_EX1)	female(shireen_baratheon)	1
parent(_EX6, X)	parent(unknown_mother_sand_3, sarella_sand)	1
parent(X, _EX1)	parent(unknown_mother_stark, lyanna_stark)	1
parent(X, _EX2)	parent(unknown_father_greyjoy, euron_greyjoy)	1
parent(_EX6, X)	parent(oberyn_martell, sarella_sand)	1
parent(_EX2, lancel_lannister)	parent(kevan_lannister, lancel_lannister)	1
parent(X, Y)	parent(alannys_harlaw, maron_greyjoy)	1
parent(rhaella_targaryen, Z)	parent(rhaella_targaryen, daenerys_targaryen)	1
parent(Y, Z)	parent(joanna_lannister, cersei_lannister)	1
parent(_EX0, _EX4)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(_EX2, Y)	parent(aegon_v_targaryen, duncan_targaryen)	1
parent(Z, X)	parent(mace_tyrell, margaery_tyrell)	1
ancestor(balon_greyjoy, _EX1)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX2, Y)	parent(unknown_mother_targaryen, duncan_targaryen)	1
parent(_EX0, X)	parent(unknown_mother_lannister, tywin_lannister)	1
parent(_EX2, X)	parent(lewyn_martell, doran_martell)	1
ancestor(X, aegon_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(_EX0, _EX4)	parent(tytos_lannister, tywin_lannister)	1
parent(rhaella_targaryen, _EX3)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(eddard_stark, _EX1)	parent(eddard_stark, bran_stark)	1
female(_EX4)	female(daenerys_targaryen)	1
parent(oberyn_martell, Z)	parent(oberyn_martell, four_unknown_martells)	1
parent(_EX2, Y)	parent(rhaella_targaryen, viserys_targaryen)	1
parent(_EX2, X)	parent(jaime_lannister, joffery_lannister)	1
male(X)	male(kevan_lannister)	1
parent(_EX4, X)	parent(eddard_stark, bran_stark)	1
parent(_EX6, X)	parent(eddard_stark, arya_stark)	1
female(_EX4)	female(unknown_mother_targaryen)	1
parent(X, robb_stark)	parent(eddard_stark, robb_stark)	1
female(_EX1)	female(alerie_hightower)	1
parent(_EX3, _EX4)	parent(kevan_lannister, lancel_lannister)	1
status(X, dead)	status(maron_greyjoy, dead)	1
parent(aerys_targaryen, _EX0)	parent(aerys_targaryen, rhaegar_targaryen)	1
ancestor(rhaella_targaryen, _EX4)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX0, oberyn_martell)	parent(lewyn_martell, oberyn_martell)	1
parent(Y, X)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(unknown_mother_martell, _EX6)	parent(unknown_mother_martell, oberyn_martell)	1
parent(Y, Z)	parent(catelyn_stark, robb_stark)	1
parent(X, _EX6)	parent(mellario_of_norvos, trystane_martell)	1
parent(_EX3, _EX4)	parent(oberyn_martell, tyene_sand)	1
parent(steffon_baratheon, Z)	parent(steffon_baratheon, renly_baratheon)	1
parent(Y, X)	parent(oberyn_martell, obara_sand)	1
parent(_EX4, X)	parent(unknown_mother_martell, ella_martell)	1
parent(X, Z)	parent(unknown_mother_stark, lyanna_stark)	1
parent(_EX3, _EX4)	parent(catelyn_stark, arya_stark)	1
parent(Z, X)	parent(lewyn_martell, ella_martell)	1
parent(_EX4, _EX2)	parent(rhaegar_targaryen, aegon_targaryen)	1
parent(_EX3, _EX4)	parent(unknown_mother_stark, eddard_stark)	1
parent(mace_tyrell, Z)	parent(mace_tyrell, loras_tyrell)	1
parent(X, _EX3)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(X, _EX6)	parent(mace_tyrell, margaery_tyrell)	1
parent(X, _EX0)	parent(unknown_mother_lannister, kevan_lannister)	1
male(Z)	male(willem_lannister)	1
female(_EX4)	female(unknown_mother_stark)	1
parent(Z, _EX3)	parent(eddard_stark, rickon_stark)	1
parent(X, _EX2)	parent(tywin_lannister, cersei_lannister)	1
parent(X, _EX1)	parent(unknown_mother_sand_1, obara_sand)	1
parent(rhaegar_targaryen, _EX2)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(Y, aerys_targaryen)	parent(aegon_v_targaryen, aerys_targaryen)	1
parent(X, _EX1)	parent(tywin_lannister, cersei_lannister)	1
parent(_EX0, _EX4)	parent(kevan_lannister, lancel_lannister)	1
parent(Y, Z)	parent(mace_tyrell, loras_tyrell)	1
parent(X, _EX6)	parent(catelyn_stark, bran_stark)	1
parent(_EX1, X)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(_EX6, X)	parent(catelyn_stark, robb_stark)	1
parent(X, _EX6)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(_EX0, _EX4)	parent(unknown_mother_targaryen, aerys_targaryen)	1
male(stannis_baratheon)	male(stannis_baratheon)	1
parent(Z, _EX3)	parent(unknown_father_greyjoy, balon_greyjoy)	1
father(X, cersei_lannister)	father(X, Y) :- male(X), parent(X, Y)	1
parent(_EX0, _EX3)	parent(rickard_stark, lyanna_stark)	1
parent(X, Y)	parent(unknown_mother_stark, benjen_stark)	1
parent(_EX0, X)	parent(mace_tyrell, margaery_tyrell)	1
female(X)	female(ellaria_sand)	1
parent(_EX0, _EX4)	parent(balon_greyjoy, yara_greyjoy)	1
parent(X, _EX2)	parent(jaime_lannister, tommen_lannister)	1
parent(_EX0, _EX4)	parent(cersei_lannister, myrcella_lannister)	1
parent(oberyn_martell, _EX4)	parent(oberyn_martell, four_unknown_martells)	1
parent(_EX4, Y)	parent(unknown_father_greyjoy, aeron_greyjoy)	1
parent(_EX0, _EX4)	parent(alannys_harlaw, theon_greyjoy)	1
parent(X, _EX0)	parent(lewyn_martell, oberyn_martell)	1
parent(_EX6, _EX4)	parent(balon_greyjoy, theon_greyjoy)	1
daughter(X, Y)	daughter(X, Y) :- female(X), parent(Y, X)	1
parent(_EX0, _EX3)	parent(catelyn_stark, sansa_stark)	1
parent(_EX4, lyanna_stark)	parent(rickard_stark, lyanna_stark)	1
parent(_EX6, _EX0)	parent(lewyn_martell, ella_martell)	1
parent(_EX4, X)	parent(aerys_targaryen, viserys_targaryen)	1
parent(Y, lyanna_stark)	parent(unknown_mother_stark, lyanna_stark)	1
parent(_EX0, X)	parent(steffon_baratheon, renly_baratheon)	1
parent(_EX5, X)	parent(catelyn_stark, arya_stark)	1
parent(X, _EX6)	parent(lewyn_martell, ella_martell)	1
parent(X, tywin_lannister)	parent(unknown_mother_lannister, tywin_lannister)	1
parent(aerys_targaryen, Y)	parent(aerys_targaryen, daenerys_targaryen)	1
parent(Y, X)	parent(aerys_targaryen, viserys_targaryen)	1
ancestor(eddard_stark, Z)	ancestor(X, Y) :- parent(X, Y)	1
parent(_EX0, X)	parent(rickard_stark, benjen_stark)	1
parent(_EX6, _EX4)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(jaime_lannister, _EX5)	parent(jaime_lannister, myrcella_lannister)	1
parent(Z, X)	parent(ellaria_sand, four_unknown_martells)	1
ancestor(aegon_v_targaryen, X)	ancestor(X, Y) :- parent(X, Y)	1
parent(alannys_harlaw, _EX6)	parent(alannys_harlaw, theon_greyjoy)	1
parent(eddard_stark, _EX0)	parent(eddard_stark, sansa_stark)	1
parent(_EX3, _EX4)	parent(jaime_lannister, tommen_lannister)	1
parent(X, Z)	parent(unknown_mother_targaryen, duncan_targaryen)	1
ancestor(robert_baratheon, _EX2)	ancestor(X, Y) :- parent(X, Y)	1
parent(X, _EX4)	parent(kevan_lannister, willem_lannister)	1
parent(_EX6, X)	parent(alannys_harlaw, yara_greyjoy)	1
parent(_EX6, X)	parent(unknown_mother_sand_2, nymeria_sand)	1
parent(_EX6, _EX4)	parent(steffon_baratheon, robert_baratheon)	1
status(Y, X)	status(gendry, alive)	1
parent(_EX4, X)	parent(cersei_lannister, joffery_lannister)	1
parent(oberyn_martell, _EX5)	parent(oberyn_martell, sarella_sand)	1
status(Y, X)	status(doran_martell, dead)	1
parent(_EX4, _EX2)	parent(aerys_targaryen, viserys_targaryen)	1
parent(X, Z)	parent(unknown_mother_sand_1, obara_sand)	1
parent(_EX4, _EX0)	parent(unknown_mother_greyjoy, balon_greyjoy)	1
parent(unknown_mother_lannister, _EX6)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(_EX2, Y)	parent(lyanna_stark, jon_snow)	1
parent(_EX4, X)	parent(oberyn_martell, four_unknown_martells)	1
parent(unknown_mother_stark, _EX1)	parent(unknown_mother_stark, lyanna_stark)	1
male(willem_lannister)	male(willem_lannister)	1
parent(_EX4, rhaella_targaryen)	parent(unknown_mother_targaryen, rhaella_targaryen)	1
parent(Y, Z)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
ancestor(rhaegar_targaryen, aegon_targaryen)	ancestor(X, Y) :- parent(X, Y)	1
parent(kevan_lannister, _EX3)	parent(kevan_lannister, willem_lannister)	1
parent(stannis_baratheon, _EX2)	parent(stannis_baratheon, shireen_baratheon)	1
parent(X, _EX3)	parent(balon_greyjoy, yara_greyjoy)	1
parent(X, _EX0)	parent(kevan_lannister, lancel_lannister)	1
parent(X, _EX3)	parent(oberyn_martell, tyene_sand)	1
parent(_EX1, X)	parent(balon_greyjoy, maron_greyjoy)	1
parent(_EX5, X)	parent(unknown_mother_stark, benjen_stark)	1
parent(_EX6, X)	parent(rhaegar_targaryen, jon_snow)	1
parent(_EX0, _EX3)	parent(unknown_father_greyjoy, balon_greyjoy)	1
parent(_EX6, _EX4)	parent(lewyn_martell, oberyn_martell)	1
parent(X, Z)	parent(kevan_lannister, willem_lannister)	1
parent(aerys_targaryen, Y)	parent(aerys_targaryen, viserys_targaryen)	1
parent(_EX0, stannis_baratheon)	parent(cassana_estermont, stannis_baratheon)	1
status(ilyn_payne, X)	status(ilyn_payne, alive)	1
parent(X, doran_martell)	parent(lewyn_martell, doran_martell)	1
parent(X, _EX3)	parent(alannys_harlaw, theon_greyjoy)	1
parent(cersei_lannister, _EX5)	parent(cersei_lannister, tommen_lannister)	1
child(Y, _EX2)	child(X, Y) :- parent(Y, X)	1
parent(X, _EX4)	parent(catelyn_stark, bran_stark)	1
parent(X, _EX3)	parent(unknown_mother_stark, eddard_stark)	1
parent(X, _EX2)	parent(oberyn_martell, sarella_sand)	1
parent(X, _EX4)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(_EX0, _EX3)	parent(mace_tyrell, loras_tyrell)	1
parent(X, _EX2)	parent(jaime_lannister, myrcella_lannister)	1
parent(balon_greyjoy, _EX5)	parent(balon_greyjoy, maron_greyjoy)	1
parent(X, _EX0)	parent(catelyn_stark, arya_stark)	1
parent(X, Y)	parent(mellario_of_norvos, trystane_martell)	1
parent(X, _EX1)	parent(oberyn_martell, sarella_sand)	1
parent(_EX6, _EX4)	parent(elia_martell, aegon_targaryen)	1
parent(X, _EX1)	parent(jaime_lannister, myrcella_lannister)	1
parent(rhaegar_targaryen, X)	parent(rhaegar_targaryen, rhaenys_targaryen)	1
parent(_EX0, _EX3)	parent(doran_martell, trystane_martell)	1
parent(_EX6, _EX0)	parent(eddard_stark, rickon_stark)	1
parent(jaime_lannister, _EX1)	parent(jaime_lannister, joffery_lannister)	1
parent(Z, _EX3)	parent(oberyn_martell, obara_sand)	1
parent(_EX4, X)	parent(alannys_harlaw, maron_greyjoy)	1
parent(unknown_mother_lannister, kevan_lannister)	parent(unknown_mother_lannister, kevan_lannister)	1
parent(X, arya_stark)	parent(catelyn_stark, arya_stark)	1
parent(Y, Z)	parent(tytos_lannister, tywin_lannister)	1
parent(X, _EX1)	parent(joanna_lannister, cersei_lannister)	1
parent(X, _EX6)	parent(eddard_stark, rickon_stark)	1
parent(X, Y)	parent(mace_tyrell, margaery_tyrell)	1
parent(_EX6, X)	parent(tytos_lannister, tywin_lannister)	1
parent(_EX4, Y)	parent(rickard_stark, brandon_stark)	1
parent(_EX6, _EX4)	parent(unknown_mother_greyjoy, aeron_greyjoy)	1
parent(X, Z)	parent(aerys_targaryen, rhaegar_targaryen)	1
parent(_EX5, benjen_stark)	parent(rickard_stark, benjen_stark)	1
parent(X, _EX5)	parent(kevan_lannister, willem_lannister)	1
female(_EX4)	female(alerie_hightower)	1
ancestor(tywin_lannister, Z)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	1
parent(Y, X)	parent(luthor_tyrell, mace_tyrell)	1
female(X)	female(lyanna_stark)	1
parent(_EX0, X)	parent(ellaria_sand, four_unknown_martells)	1
status(Y, X)	status(brandon_stark, dead)	1
parent(_EX6, _EX0)	parent(unknown_father_greyjoy, balon_greyjoy)	1
ancestor(robert_baratheon, _EX0)	ancestor(X, Y) :- parent(X, Y)	1
status(X, dead)	status(rickon_stark, dead)	1
parent(_EX6, _EX4)	parent(eddard_stark, sansa_stark)	1
